Datum; Uhrzeit; eCO2 (ppm); tVOC (ppb); Temperatur (°C); Luftdruck (hpPa); relative Luftfeuchte (%)
2026-04-13; 01:54:14; 400; 0; 25.9; 1000.1903515625; 24.2119140625
2026-04-13; 01:55:14; 405; 0; 25.92; 1000.1866796875; 24.201171875
2026-04-13; 01:56:14; 400; 0; 25.95; 1000.22625; 24.1806640625
2026-04-13; 01:57:14; 423; 3; 25.97; 1000.26546875; 24.181640625
2026-04-13; 01:58:14; 416; 2; 25.98; 1000.226875; 24.13671875
2026-04-13; 01:59:14; 409; 1; 25.99; 1000.24265625; 24.103515625
2026-04-13; 02:00:14; 405; 0; 26.01; 1000.21984375; 24.0703125
2026-04-13; 02:01:14; 402; 0; 26.02; 1000.31703125; 24.037109375
2026-04-13; 02:02:14; 400; 0; 26.03; 1000.251328125; 24.048828125
2026-04-13; 02:03:14; 400; 0; 26.04; 1000.2670703125; 24.0498046875
2026-04-13; 02:04:14; 400; 0; 26.07; 1000.1705078125; 23.9716796875
2026-04-13; 02:05:14; 406; 0; 26.08; 1000.167109375; 23.97265625
2026-04-13; 02:06:14; 400; 0; 26.08; 1000.1590625; 23.9384765625
2026-04-13; 02:07:14; 403; 0; 26.1; 1000.081953125; 23.9169921875
2026-04-13; 02:08:14; 403; 0; 26.11; 1000.12484375; 23.9404296875
2026-04-13; 02:09:14; 400; 0; 26.13; 1000.067109375; 23.9404296875
2026-04-13; 02:10:14; 400; 0; 26.12; 1000.05140625; 23.9404296875
2026-04-13; 02:11:14; 405; 0; 26.13; 1000.0399609375; 23.91796875
2026-04-13; 02:12:14; 405; 0; 26.13; 1000.020859375; 23.9072265625
2026-04-13; 02:13:14; 402; 0; 26.14; 999.955078125; 23.8623046875
2026-04-13; 02:14:14; 400; 0; 26.14; 999.94734375; 23.8623046875
2026-04-13; 02:15:15; 400; 0; 26.13; 999.9121875; 23.8623046875
2026-04-13; 02:16:15; 400; 0; 26.15; 999.9359375; 23.8408203125
2026-04-13; 02:17:15; 400; 0; 26.14; 999.94734375; 23.8740234375
2026-04-13; 02:18:15; 400; 0; 26.14; 999.865859375; 23.884765625
2026-04-13; 02:19:15; 400; 0; 26.14; 999.8736328125; 23.8173828125
2026-04-13; 02:20:15; 405; 0; 26.15; 999.8621484375; 23.8291015625
2026-04-13; 02:21:15; 405; 0; 26.13; 999.7763671875; 23.828125
2026-04-13; 02:22:15; 405; 0; 26.14; 999.7844140625; 23.8505859375
2026-04-13; 02:23:15; 400; 0; 26.14; 999.7649609375; 23.8515625
2026-04-13; 02:24:15; 400; 0; 26.15; 999.7730078125; 23.8515625
2026-04-13; 02:25:15; 403; 0; 26.15; 999.7730078125; 23.806640625
2026-04-13; 02:26:15; 403; 0; 26.16; 999.7887109375; 23.806640625
2026-04-13; 02:27:15; 400; 0; 26.16; 999.7615234375; 23.8291015625
2026-04-13; 02:28:15; 403; 0; 26.18; 999.8201953125; 23.8193359375
2026-04-13; 02:29:15; 403; 0; 26.18; 999.8201953125; 23.7744140625
2026-04-13; 02:30:15; 405; 0; 26.18; 999.8201953125; 23.796875
2026-04-13; 02:31:15; 405; 0; 26.18; 999.8473828125; 23.8310546875
2026-04-13; 02:32:15; 405; 0; 26.16; 999.769296875; 23.830078125
2026-04-13; 02:33:15; 405; 0; 26.16; 999.82359375; 23.830078125
2026-04-13; 02:34:15; 400; 0; 26.18; 999.77359375; 23.78515625
2026-04-13; 02:35:15; 400; 0; 26.19; 999.7816015625; 23.763671875
2026-04-13; 02:36:15; 400; 0; 26.18; 999.7387109375; 23.796875
2026-04-13; 02:37:15; 405; 0; 26.18; 999.8744921875; 23.80859375
2026-04-13; 02:38:15; 405; 0; 26.18; 999.8744921875; 23.796875
2026-04-13; 02:39:15; 405; 0; 26.18; 999.8473828125; 23.796875
2026-04-13; 02:40:15; 405; 0; 26.18; 999.80078125; 23.78515625
2026-04-13; 02:41:15; 400; 0; 26.17; 999.7578515625; 23.78515625
2026-04-13; 02:42:15; 405; 0; 26.2; 999.79734375; 23.775390625
2026-04-13; 02:43:15; 405; 0; 26.19; 999.754453125; 23.7861328125
2026-04-13; 02:44:15; 400; 0; 26.18; 999.793046875; 23.80859375
2026-04-13; 02:45:16; 400; 0; 26.18; 999.855078125; 23.80859375
2026-04-13; 02:46:16; 402; 0; 26.17; 999.785; 23.8076171875
2026-04-13; 02:47:16; 402; 0; 26.16; 999.7964453125; 23.818359375
2026-04-13; 02:48:16; 402; 0; 26.17; 999.8665234375; 23.78515625
2026-04-13; 02:49:16; 402; 0; 26.18; 999.8473828125; 23.796875
2026-04-13; 02:50:16; 402; 0; 26.16; 999.7887109375; 23.794921875
2026-04-13; 02:51:16; 402; 0; 26.19; 999.8359375; 23.7744140625
2026-04-13; 02:52:16; 407; 1; 26.19; 999.8359375; 23.763671875
2026-04-13; 02:53:16; 402; 0; 26.18; 999.77359375; 23.7744140625
2026-04-13; 02:54:16; 402; 0; 26.18; 999.827890625; 23.7626953125
2026-04-13; 02:55:16; 400; 0; 26.19; 999.7893359375; 23.7861328125
2026-04-13; 02:56:16; 402; 0; 26.19; 999.727265625; 23.763671875
2026-04-13; 02:57:16; 402; 0; 26.19; 999.80875; 23.751953125
2026-04-13; 02:58:16; 400; 0; 26.18; 999.7192578125; 23.796875
2026-04-13; 02:59:16; 407; 1; 26.18; 999.7115625; 23.7744140625
2026-04-13; 03:00:16; 405; 0; 26.17; 999.6763671875; 23.7734375
2026-04-13; 03:01:16; 405; 0; 26.16; 999.6878125; 23.8076171875
2026-04-13; 03:02:16; 407; 1; 26.16; 999.6878125; 23.7841796875
2026-04-13; 03:03:16; 405; 0; 26.16; 999.714921875; 23.76171875
2026-04-13; 03:04:16; 405; 0; 26.18; 999.6300390625; 23.7744140625
