Datum; Uhrzeit; eCO2 (ppm); tVOC (ppb); Temperatur (°C); Luftdruck (hpPa); relative Luftfeuchte (%)
2025-06-09; 01:56:18; 400; 0; 23.55; 1009.611484375; 49.7578125
2025-06-09; 01:57:18; 402; 0; 23.59; 1009.6758203125; 49.6171875
2025-06-09; 01:58:18; 400; 0; 23.6; 1009.644140625; 49.5625
2025-06-09; 01:59:18; 403; 0; 23.63; 1009.7209375; 49.486328125
2025-06-09; 02:00:18; 400; 0; 23.62; 1009.6409765625; 49.51953125
2025-06-09; 02:01:18; 400; 0; 23.67; 1009.693515625; 49.412109375
2025-06-09; 02:02:18; 402; 0; 23.68; 1009.662109375; 49.369140625
2025-06-09; 02:03:18; 400; 0; 23.69; 1009.70609375; 49.2353515625
2025-06-09; 02:04:18; 405; 0; 23.72; 1009.6985546875; 49.2275390625
2025-06-09; 02:05:18; 400; 0; 23.76; 1009.69125; 49.1533203125
2025-06-09; 02:06:18; 400; 0; 23.74; 1009.7589453125; 49.21875
2025-06-09; 02:07:19; 403; 0; 23.75; 1009.7111328125; 49.140625
2025-06-09; 02:08:19; 405; 0; 23.72; 1009.754375; 49.2158203125
2025-06-09; 02:09:19; 405; 0; 23.78; 1009.6756640625; 49.1328125
2025-06-09; 02:10:19; 405; 0; 23.78; 1009.7792578125; 49.087890625
2025-06-09; 02:11:19; 405; 0; 23.8; 1009.7636328125; 49.0341796875
2025-06-09; 02:12:19; 405; 0; 23.81; 1009.715859375; 49.0458984375
2025-06-09; 02:13:19; 405; 0; 23.78; 1009.7513671875; 49.076171875
2025-06-09; 02:14:19; 405; 0; 23.8; 1009.7078125; 49.056640625
2025-06-09; 02:15:19; 405; 0; 23.81; 1009.6879296875; 49.0458984375
2025-06-09; 02:16:19; 405; 0; 23.82; 1009.7961328125; 48.98046875
2025-06-09; 02:17:19; 405; 0; 23.83; 1009.6925; 49.0703125
2025-06-09; 02:18:19; 405; 0; 23.87; 1009.701015625; 48.9072265625
2025-06-09; 02:19:19; 405; 0; 23.87; 1009.6730859375; 48.8623046875
2025-06-09; 02:20:19; 405; 0; 23.84; 1009.7644140625; 48.947265625
2025-06-09; 02:21:19; 405; 0; 23.82; 1009.6565234375; 48.9912109375
2025-06-09; 02:22:19; 400; 0; 23.87; 1009.6811328125; 48.884765625
2025-06-09; 02:23:19; 405; 0; 23.85; 1009.6130078125; 48.9384765625
2025-06-09; 02:24:19; 405; 0; 23.86; 1009.6569921875; 48.904296875
2025-06-09; 02:25:19; 405; 0; 23.85; 1009.7048046875; 48.9267578125
2025-06-09; 02:26:19; 400; 0; 23.84; 1009.652734375; 48.958984375
2025-06-09; 02:27:19; 405; 0; 23.86; 1009.684921875; 48.904296875
2025-06-09; 02:28:19; 405; 0; 23.87; 1009.64515625; 48.8623046875
2025-06-09; 02:29:19; 405; 0; 23.88; 1009.669609375; 48.8408203125
2025-06-09; 02:30:19; 405; 0; 23.89; 1009.6298046875; 48.8076171875
2025-06-09; 02:31:19; 405; 0; 23.87; 1009.6172265625; 48.9072265625
