Datum; Uhrzeit; eCO2 (ppm); tVOC (ppb); Temperatur (°C); Luftdruck (hpPa); relative Luftfeuchte (%)
2025-05-05; 21:42:51; 717; 48; 19.95; 1003.0629296875; 42.5625
2025-05-05; 21:43:51; 768; 56; 19.97; 1003.0947265625; 43.01953125
2025-05-05; 21:44:51; 768; 56; 19.97; 1003.0409375; 42.86328125
2025-05-05; 21:45:51; 806; 61; 19.99; 1003.1722265625; 43.0986328125
2025-05-05; 21:46:51; 787; 58; 19.99; 1003.072734375; 42.8984375
2025-05-05; 21:47:51; 800; 60; 20.01; 1003.1502734375; 43.01171875
2025-05-05; 21:48:51; 787; 58; 20.0; 1003.19625; 43.0
2025-05-05; 21:49:51; 821; 64; 20.01; 1003.1502734375; 43.177734375
2025-05-05; 21:50:51; 834; 66; 20.03; 1003.14734375; 43.1787109375
2025-05-05; 21:51:51; 851; 68; 20.04; 1003.2170703125; 43.3251953125
2025-05-05; 21:52:51; 851; 68; 20.04; 1003.136328125; 43.2802734375
2025-05-05; 21:53:52; 855; 69; 20.04; 1003.1441796875; 43.3583984375
2025-05-05; 21:54:52; 895; 75; 20.05; 1003.2138671875; 43.5478515625
2025-05-05; 21:55:52; 887; 74; 20.05; 1003.2138671875; 43.5810546875
2025-05-05; 21:56:52; 905; 76; 20.06; 1003.1759765625; 43.5498046875
2025-05-05; 21:57:52; 905; 76; 20.06; 1003.229765625; 43.59375
2025-05-05; 21:58:52; 909; 77; 20.06; 1003.1950390625; 43.6259765625
2025-05-05; 21:59:52; 915; 78; 20.07; 1003.2109765625; 43.6943359375
2025-05-05; 22:00:52; 935; 81; 20.08; 1003.2268359375; 43.7724609375
2025-05-05; 22:01:52; 945; 83; 20.08; 1003.2346875; 43.884765625
2025-05-05; 22:02:52; 945; 83; 20.08; 1003.2268359375; 43.8388671875
2025-05-05; 22:03:52; 995; 90; 20.09; 1003.2427734375; 44.017578125
2025-05-05; 22:04:52; 995; 90; 20.09; 1003.2775; 44.0068359375
2025-05-05; 22:05:52; 1012; 93; 20.1; 1003.17796875; 44.1181640625
2025-05-05; 22:06:52; 1017; 93; 20.1; 1003.293359375; 44.0751953125
2025-05-05; 22:07:52; 1035; 96; 20.1; 1003.239609375; 44.1416015625
2025-05-05; 22:08:52; 1035; 96; 20.11; 1003.2476953125; 44.17578125
2025-05-05; 22:09:52; 1035; 96; 20.1; 1003.239609375; 44.1748046875
2025-05-05; 22:10:52; 1105; 107; 20.1; 1003.266484375; 44.296875
2025-05-05; 22:11:52; 1093; 105; 20.11; 1003.22859375; 44.3642578125
2025-05-05; 22:12:52; 1081; 103; 20.11; 1003.2745703125; 44.419921875
2025-05-05; 22:13:52; 1105; 107; 20.11; 1003.2823828125; 44.4306640625
2025-05-05; 22:14:52; 1118; 109; 20.11; 1003.309296875; 44.5087890625
2025-05-05; 22:15:52; 1156; 115; 20.12; 1003.244453125; 44.576171875
2025-05-05; 22:16:52; 1171; 117; 20.13; 1003.30640625; 44.6435546875
2025-05-05; 22:17:52; 1156; 115; 20.13; 1003.2794921875; 44.654296875
2025-05-05; 22:18:52; 1171; 117; 20.14; 1003.303203125; 44.677734375
2025-05-05; 22:19:52; 1181; 118; 20.14; 1003.330078125; 44.6884765625
2025-05-05; 22:20:52; 1195; 121; 20.14; 1003.330078125; 44.7216796875
